comment-id,comment,total-votes,total-agrees,total-disagrees,total-passes,group-a-votes,group-a-agrees,group-a-disagrees,group-a-passes,group-b-votes,group-b-agrees,group-b-disagrees,group-b-passes,group-c-votes,group-c-agrees,group-c-disagrees,group-c-passes
0,"AI talks about my faith or culture like an outsider describing it.
",35,14,3,18,13,2,0,11,2,0,1,1,20,12,2,6
1,"AI has helped me go deeper into my own tradition.",35,9,13,13,12,2,4,6,2,1,0,1,21,6,9,6
2,"Communities must have a real way to challenge how an AI represents their tradition, and get errors fixed
",33,32,0,1,11,10,0,1,2,2,0,0,20,20,0,0
3,"Communities should be able to build or shape AI tuned to their own values. 
",36,24,3,9,13,4,2,7,2,2,0,0,21,18,1,2
4,"The benefits of AI knowing me personally outweigh the privacy risks. 
",36,6,20,10,12,0,7,5,2,1,1,0,22,5,12,5
5,"AI should not understand me so well that it can manipulate me.
",33,22,6,5,12,6,2,4,2,0,2,0,19,16,2,1
6,"Communities that build AI on their members' data owe each member visibility into their own record before anyone else sees it.
",35,29,2,4,12,8,1,3,2,2,0,0,21,19,1,1
7,"Developers must measure and report how their systems respond when users try to disengage.
",36,28,0,8,12,5,0,7,2,2,0,0,22,21,0,1
8,"AI mostly reflects the values of wealthy, secular societies rather than the whole world and that is a major problem.
",33,23,1,9,12,4,0,8,2,1,1,0,19,18,0,1
9,"It isn't AI's job to reflect every culture's values.
",36,10,15,11,13,6,0,7,2,0,2,0,21,4,13,4
10,"Whoever sets an AI's values should be answerable to the people who are affected by that AI.
",35,28,2,5,13,8,1,4,2,1,1,0,20,19,0,1
11,"Governments should have a bigger role than companies in deciding what values AI reflects. 
",33,18,5,10,11,3,3,5,2,2,0,0,20,13,2,5
12,"It's fine to rely on AI for moral or spiritual guidance. 
",34,8,18,8,12,2,5,5,2,1,1,0,20,5,12,3
13,"Some questions should only be answered by a person, never by an AI.",35,26,2,7,13,10,0,3,2,0,2,0,20,16,0,4
14,"I'd rather AI help me think through a hard decision than give me the answer. 
",35,28,2,5,13,7,1,5,2,2,0,0,20,19,1,0
15,"If a community I cared about built its own AI, I'd want to use it. 
",35,24,1,10,13,5,1,7,2,1,0,1,20,18,0,2
16,"AI should be designed to prevent emotional over-dependence, even if users want that closeness.
",35,30,2,3,13,9,1,3,2,1,1,0,20,20,0,0
17,"An AI trained on a community's teachings could deepen practice rather than replace it. 
",34,27,1,6,12,6,1,5,2,2,0,0,20,19,0,1
18,"Using new tools to pass on old traditions is itself a tradition. 
",35,24,1,10,12,4,0,8,2,2,0,0,21,18,1,2
19,"I worry about how AI will change the way communities pass traditions to the next generation.
",36,26,2,8,13,8,0,5,2,1,1,0,21,17,1,3
20,"Lots of AI Governance work has no impact in the tech companies",33,17,4,12,11,4,2,5,2,1,0,1,20,12,2,6
21,"Regulation is a necessity",32,29,0,3,12,10,0,2,2,2,0,0,18,17,0,1
22,"Agree",19,5,0,14,4,1,0,3,1,0,0,1,14,4,0,10
23,"I don’t want to feel seen by AI.",33,17,8,8,12,6,1,5,2,0,2,0,19,11,5,3
24,"AI must be build bottom-up",32,13,2,17,12,2,1,9,2,1,1,0,18,10,0,8
25,"As it currently exists, AI erodes autonomy and consent.",31,23,1,7,10,7,0,3,2,1,1,0,19,15,0,4
26,"AI often sounds like an amalgamation of voices -flattening out individuality and uniqueness",30,25,2,3,10,6,2,2,2,2,0,0,18,17,0,1
27,"AI being used for the male loneliness epidemic is a problem.",32,23,3,6,10,4,1,5,2,0,2,0,20,19,0,1
28,"There is no universal value, but pluriversal values",28,16,2,10,10,6,1,3,2,1,0,1,16,9,1,6
29,"AI often removes the edginess - making things less controversial",29,18,2,9,10,2,2,6,2,2,0,0,17,14,0,3
30,"It makes me sad that my friend spends more time talking to AI than to me.",28,17,5,6,10,5,0,5,2,0,2,0,16,12,3,1
31,"AI generalizes marginalized communities, reducing them to caricatures",29,16,1,12,11,4,0,7,2,1,1,0,16,11,0,5
32,"Sometimes AI seems to have underlying bias - like removing mentioning of specifics - like when I write about Gaza as an example.",28,16,1,11,11,5,0,6,2,1,1,0,15,10,0,5
33,"I don’t feel AI has a role in spirituality",29,7,10,12,11,4,3,4,2,0,2,0,16,3,5,8
34,"AI reduces individual spiritual agency, but it could be the opposite.",25,10,3,12,8,1,2,5,2,1,1,0,15,8,0,7
35,"An AI designed by an indigenous culture could help educate the mainstream culture in their ways of thinking.",25,15,3,7,9,1,2,6,2,1,1,0,14,13,0,1
36,"AI is not currently equipped to give mental health or ethics advice since it is not designed to disagree nor can it understand nuances",26,18,3,5,9,4,1,4,2,0,2,0,15,14,0,1
37,"AI erodes trust by allowing someone to sound convincingly empathetic and understanding when they are not.",27,19,1,7,9,6,0,3,2,1,1,0,16,12,0,4
38,"Ai should be in service to humanity and the natural world as a primary theme",26,20,0,6,8,3,0,5,2,2,0,0,16,15,0,1
39,"AI reasons but does constitute the embodying process that comes with direct experiencing.",28,14,0,14,9,2,0,7,2,2,0,0,17,10,0,7
40,"I worry that marginalized communities in rural areas aren’t fully represented by AI systems.",24,19,1,4,8,3,1,4,2,2,0,0,14,14,0,0
41,"AI should always ask the user for context and clarification before rushing to respond.",27,19,3,5,9,4,2,3,2,1,1,0,16,14,0,2
42,"AI writing often becomes formulaic",26,22,0,4,9,8,0,1,2,1,0,1,15,13,0,2
43,"AI forces us to rediscover spirituality, but are spiritual leaders ready?",26,10,5,11,9,2,3,4,2,2,0,0,15,6,2,7
44,"We're dinosaurs 2.0 - AI is the next iteration of consciousness knowing itself, with less ecological impact and ego-based survival mayhem.",24,3,13,8,8,0,7,1,2,1,1,0,14,2,5,7
45,"Ai doesn’t reflect the nuances of my values, only the dictionary perspective",26,18,3,5,8,4,1,3,2,1,1,0,16,13,1,2
46,"Our own prompt or question also determines the AI response, so we have to know prompt engineering well if we want to be seen by AI",25,18,3,4,9,5,1,3,2,0,2,0,14,13,0,1
47,"AI should be transparent when responses originate from a particular world view.",25,22,0,3,8,5,0,3,2,2,0,0,15,15,0,0
48,"AI is not neutral, it mirrors individual propensity while averaging collective predispositions.",24,19,0,5,8,5,0,3,2,1,0,1,14,13,0,1
49,"An AI could perhaps decode the cultural nuances of foreign language - rather than just translating words.",27,20,2,5,10,3,2,5,2,2,0,0,15,15,0,0
50,"I've seen colleagues use AI to complete work but it's not answered core needs nor produced quality connection or shared sense-making needed",23,13,1,9,7,4,0,3,2,1,1,0,14,8,0,6
51,"AI governance would need to   engage with the psychology of AI use.",27,21,0,6,10,6,0,4,2,2,0,0,15,13,0,2
52,"I feel that tech company values are becoming more visible than the values of real humans and their lives.",25,20,2,3,7,5,0,2,2,1,1,0,16,14,1,1
53,"AI must not be used as a substitute for the care and work that only human beings can do for one another.",24,21,1,2,7,5,0,2,2,1,1,0,15,15,0,0
54,"AI necessary compute is power hungry and accelerates civilisational collapsing.",26,10,5,11,8,4,0,4,2,0,2,0,16,6,3,7
55,"AI is like junk food that can fill you up but ultimately leave you empty.",26,11,4,11,9,4,1,4,2,0,2,0,15,7,1,7
56,"AI replaces the spiritual experience of faith and belief into a single dimensional response rather than the multi faceted experience it is.",25,15,3,7,8,4,1,3,2,0,1,1,15,11,1,3
57,"Getting Ai to reflect my voice requires constant reminders - almost like challenging the program to respond within my parameters.",26,16,0,10,8,2,0,6,2,2,0,0,16,12,0,4
58,"AI has hidden costs like reducing our participation in community.",23,18,2,3,7,5,0,2,2,0,2,0,14,13,0,1
59,"I would have more comfort and engagement with AI if it consistently lead me to more organic and generous experiences with the natural world",23,15,2,6,7,2,1,4,2,1,0,1,14,12,1,1
60,"I feel AI can suggest generic spiritual practices but it’s unable to fully respond to the spirituality of my multidimensional identity.",25,15,2,8,7,4,0,3,2,0,2,0,16,11,0,5
61,"Humans are held responsible for AI’s mistakes.",26,13,4,9,9,4,1,4,2,1,0,1,15,8,3,4
62,"I worry what happens when people who are acquiring knowledge from AI information are unable to recognize inaccurate information.",25,22,0,3,8,5,0,3,2,2,0,0,15,15,0,0
63,"AI provides a variety of perspectives, yet it doesn’t have the senses that humans perceive using",26,17,0,9,8,4,0,4,2,2,0,0,16,11,0,5
64,"My colleagues’ work has degraded since they started using AI.",25,11,2,12,8,2,0,6,2,0,1,1,15,9,1,5
65,"I am concerned about who have access to what I put into AI",25,20,1,4,9,8,0,1,2,1,1,0,14,11,0,3
66,"AI narratives subtly shame us by implying our own authentic efforts are not enough.",24,11,3,10,7,1,1,5,2,0,1,1,15,10,1,4
67,"AI-enabled surveillance is a big problem",24,21,1,2,8,7,0,1,2,1,1,0,14,13,0,1
68,"We need to learn more about being human beings while we learn about the tools value of AI.",24,23,0,1,9,8,0,1,2,2,0,0,13,13,0,0
69,"We may lose more than we gain by using AI.",26,16,3,7,8,6,0,2,2,0,2,0,16,10,1,5
70,"The aggregating nature of AI makes me wonder if it is the tyranny of the majority",25,16,1,8,8,2,0,6,2,1,0,1,15,13,1,1
71,"I've seen students use AI to solve uni work and disconnect from meaningful output or learning",24,16,0,8,9,5,0,4,2,2,0,0,13,9,0,4
